name,code
Rezystor SMD 10 ohm 0402 1% motoryzacyjny,MJPFI4
Potencjometr obrotowy 1 kOhm logarytmiczny SMD,9GH68Q
Kondensator ceramiczny 10 pF 16 V NP0,R9KXKB
Kondensator elektrolityczny 1 uF 6.3 V 105C,BDXE5L
Kondensator foliowy 1 nF 63 V pulsowy,V2P87Q
Dioda prostownicza 1N4001 SMA 2 A,FOWDUS
Dioda Schottky 1N5817 SOD-123 1 A,0KSBMB
Dioda Zenera 3.3 V 0.25 W MELF,923PUB
Dioda LED czerwona 3 mm dyfuzyjna,RN6ZWP
Tranzystor NPN BC547 TO-92 szybki,6PAW3W
Tranzystor PNP BC557 TO-92 szybki,FB649W
Tranzystor MOSFET N-kanal IRLZ44N TO-252 niski Rds(on),Q75G01
Tranzystor MOSFET P-kanal IRF9540 SOT-23 niski Rds(on),RPSHR7
Stabilizator napiecia 78L05 TO-220 liniowy,PG7K0M
Cewka osiowa 2.2 uH 1 A,UHKEY2
Rezonator kwarcowy 4 MHz SMD 3225 20 ppm,J6ESVJ
Uklad logiczny 74HC00 SOIC-14 przemyslowy,NBXSR3
Wzmacniacz operacyjny LM358 SOIC-8 rail-to-rail,IM0BE4
Mikrokontroler ATmega8 TQFP 8 MHz,BEIX4H
Czujnik temperatury LM35 przewlekany,JRUTKI
Czujnik wilgotnosci DHT11 mini,6Z1JST
Czujnik ruchu PIR HC-SR501 zasieg 10 m,FAH9AV
Przekaznik SRD cewka 9 V styk 1C,2MD3VG
Bezpiecznik topikowy 2 A,UYGOEA
Zlacze goldpin prosty 6 pin,MENG4F
Przelacznik suwakowy SPDT,UFIMS3
Wyswietlacz OLED 1.3 cala bialy,F0UHDU
Buzzer aktywny 12 V,G4J8W3
Optoizolator LTV817 SMD,7DF3GG
Enkoder obrotowy 32 impulsy z przyciskiem,JVY1GP
Antena GSM 900 MHz 2 dBi,BXFLPT
Modul Wi-Fi ESP-12F 2.4 GHz,OPNCE6
Przycisk monostabilny zolty,MTN25N
Radiator tranzystorowy klipsowy maly,N6ACPT
Wentylator 12 V 60 mm,UWJQJZ
Rezystor metalizowany 1 ohm 0.125 W 0.5%,5E4D0S
Rezystor SMD 10 ohm 0402 1% przemyslowy,XNJKC7
Potencjometr obrotowy 1 kOhm precyzyjny THT,P9PAD0
Kondensator ceramiczny 10 pF 25 V X7R,KJ8EPY
Kondensator elektrolityczny 1 uF 10 V radialny,U0NRXY
Kondensator foliowy 1 nF 100 V MKT,TOUINZ
Dioda prostownicza 1N4001 SMB 1 A,1T29YL
Dioda Schottky 1N5817 SMA 0.5 A,4NG3TR
Dioda Zenera 3.3 V 0.5 W DO-35,7VHGWT
Dioda LED czerwona 3 mm clear,DIR14T
Tranzystor NPN BC547 SOT-23 niskoszumny,T4URYU
Tranzystor PNP BC557 SOT-23 niskoszumny,GP9GR5
Tranzystor MOSFET N-kanal IRLZ44N SOT-23 logic level,10HXOZ
Tranzystor MOSFET P-kanal IRF9540 SO-8 logic level,EM2AOR
Stabilizator napiecia 78L05 TO-220 niski spadek,VLK17C
Cewka osiowa 4.7 uH 0.5 A,TMF4DK
Rezonator kwarcowy 4 MHz SMD 3225 30 ppm,T6P9CQ
Uklad logiczny 74HC00 TSSOP-14 standard,MI518D
Wzmacniacz operacyjny LM358 TSSOP-8 niskoszumny,6MQ4IB
Mikrokontroler ATmega8 TQFP 16 MHz,RX7KJP
Czujnik temperatury LM35 sonda,H16I1Q
Czujnik wilgotnosci DHT22 modul,AHU681
Czujnik ruchu PIR HC-SR505 zasieg 3 m,NP409J
Przekaznik SRD cewka 12 V styk 1A,SOOM2E
Bezpiecznik topikowy 3.15 A,ZY6HBY
Zlacze goldpin prosty 8 pin,VQ4WBP
Przelacznik kolyskowy 2 pozycje,E9WGY0
Wyswietlacz TFT 1.8 cala SPI,LIEFIU
Buzzer pasywny 3 V,DTKSQS
Optoizolator 4N25 DIP-4,RH07EE
Enkoder obrotowy 15 impulsow pionowy,G2WTCX
Antena GSM 1800 MHz 3 dBi,2T8WZ7
Modul LoRa SX1278 433 MHz,SEW1R1
Przycisk monostabilny czarny,J7PZCR
Radiator tranzystorowy klipsowy duzy,X4ZE9E
Wentylator 12 V 80 mm,0Y7JYV
Rezystor metalizowany 1 ohm 0.125 W 0.25%,A3VNKA
Rezystor SMD 10 ohm 0402 1% precyzyjny,ETYNLA
Potencjometr obrotowy 1 kOhm precyzyjny SMD,9ECEG9
Kondensator ceramiczny 10 pF 25 V C0G,JUQOKC
Kondensator elektrolityczny 1 uF 10 V osiowy,KIC7C2
Kondensator foliowy 1 nF 100 V MKP,HUFIUF
Dioda prostownicza 1N4001 SMB 2 A,V1Z5BH
Dioda Schottky 1N5817 SMA 1 A,XEXUZ4
Dioda Zenera 3.3 V 0.5 W SOD-123,Q96K66
Dioda LED czerwona 3 mm ciepla,OKQT7E
Tranzystor NPN BC547 SOT-23 uniwersalny,RPDDJG
Tranzystor PNP BC557 SOT-23 uniwersalny,NE6GS4
Tranzystor MOSFET N-kanal IRLZ44N SOT-23 niski Rds(on),7CF38O
Tranzystor MOSFET P-kanal IRF9540 SO-8 niski Rds(on),FUTCSX
Stabilizator napiecia 78L05 TO-220 uniwersalny,5W3GKL
Cewka osiowa 4.7 uH 1 A,EFR544
Rezonator kwarcowy 4 MHz SMD 3225 50 ppm,340CMQ
Uklad logiczny 74HC00 TSSOP-14 przemyslowy,NFU2NU
Wzmacniacz operacyjny LM358 TSSOP-8 rail-to-rail,Y8DR1P
Mikrokontroler ATmega8 TQFP 48 MHz,7ITX98
Czujnik temperatury LM35 przemyslowy,HGC7GE
Czujnik wilgotnosci DHT22 SMD,2OH3HM
Czujnik ruchu PIR HC-SR505 zasieg 5 m,QIH50L
Przekaznik SRD cewka 12 V styk 1C,95T2QE
Bezpiecznik topikowy 5 A,AA70S7
Zlacze goldpin prosty 10 pin,I08HW8
Przelacznik kolyskowy 3 pozycje,JR8JV7
Wyswietlacz TFT 2.4 cala SPI,DIA9UQ
Buzzer pasywny 5 V,ETHP3D
Optoizolator 4N25 SMD,O8X1HB
Enkoder obrotowy 15 impulsow poziomy,BTE95X
Antena LoRa 868 MHz 2 dBi,RPDDWI
Modul LoRa SX1276 868 MHz,9GVOG1
Przycisk monostabilny bialy,FI03YS
Radiator aluminiowy 20x15x10 mm,DOXLH9
Wentylator 24 V 40 mm,0Y3CA2
Rezystor metalizowany 1 ohm 0.25 W 1%,94CQHP
Rezystor SMD 10 ohm 0402 2% niski szum,JICGHC
Potencjometr obrotowy 2 kOhm liniowy THT,VG18UU
Kondensator ceramiczny 10 pF 25 V Y5V,TTI459
Kondensator elektrolityczny 1 uF 10 V Low ESR,YJK19V
Kondensator foliowy 1 nF 100 V PPS,NJ2IL4
Dioda prostownicza 1N4001 SMC 1 A,GAQLE7
Dioda Schottky 1N5817 SMB 0.5 A,4UCGAU
Dioda Zenera 3.3 V 0.5 W SMA,0G3YFJ
Dioda LED czerwona 5 mm standard,AWRO3Q
Tranzystor NPN BC547 SOT-23 wysokie wzmocnienie,QER1AM
Tranzystor PNP BC557 SOT-23 wysokie wzmocnienie,Y41RG8
Tranzystor MOSFET N-kanal IRLZ44N SO-8 logic level,HOYIDE
Tranzystor MOSFET P-kanal IRF9540 TO-252 logic level,37I1AF
Stabilizator napiecia 78L05 SOT-223 liniowy,IZHFLH
Cewka osiowa 10 uH 0.5 A,QE57OZ
Rezonator kwarcowy 4 MHz SMD 5032 20 ppm,XBSKE6
Uklad logiczny 74HC00 DIP-16 standard,DDI4G3
Wzmacniacz operacyjny LM324 DIP-8 niskoszumny,YLV4IM
Mikrokontroler ATmega8 QFN 8 MHz,I5MM12
Czujnik temperatury DS18B20 TO-92,2F3AYM
Czujnik wilgotnosci DHT22 przemyslowy,VGJFZK
Czujnik ruchu PIR HC-SR505 zasieg 7 m,RT0H8D
Przekaznik SRD cewka 24 V styk 1A,NU4JDV
Bezpiecznik samochodowy 250 mA,W4CFVG
Zlacze goldpin katowy 2 pin,2X4Q2J
Przelacznik kolyskowy SPST,1V2R8M
Wyswietlacz LED 7-segmentowy czerwony 1 cyfra,HTDZRK
Buzzer pasywny 9 V,FXL0KM
Optoizolator 4N35 DIP-4,XCGD3U
Enkoder obrotowy 12 impulsow metalowy,VBOBGJ
Antena LoRa 915 MHz 2 dBi,2CBXMB
Modul GSM SIM800L mini,WFGNAK
Przycisk podswietlany czerwony,S0HB3N
Radiator aluminiowy 30x25x15 mm,1MSRIH
Wentylator 24 V 60 mm,UB4BII
Rezystor metalizowany 1 ohm 0.25 W 2%,0QEFFE
Rezystor SMD 10 ohm 0402 2% standard,U5VDL4
Potencjometr obrotowy 2 kOhm liniowy SMD,MSF9XV
Kondensator ceramiczny 10 pF 25 V NP0,QXVUPK
Kondensator elektrolityczny 1 uF 10 V 105C,21T34F
Kondensator foliowy 1 nF 100 V pulsowy,BE5TUC
Dioda prostownicza 1N4001 SMC 2 A,MY68JR
Dioda Schottky 1N5817 SMB 1 A,UERSZW
Dioda Zenera 3.3 V 0.5 W MELF,PDD0GX
Dioda LED czerwona 5 mm jasna,LF7KL5
Tranzystor NPN BC547 SOT-23 szybki,UYTXCT
Tranzystor PNP BC557 SOT-23 szybki,85FRJK
Tranzystor MOSFET N-kanal IRLZ44N SO-8 niski Rds(on),B59U74
Tranzystor MOSFET P-kanal IRF9540 TO-252 niski Rds(on),9GUXWE
Stabilizator napiecia 78L05 SOT-223 niski spadek,L9EIM1
Cewka osiowa 10 uH 1 A,FE8F1N
Rezonator kwarcowy 4 MHz SMD 5032 30 ppm,0Z9MGL
Uklad logiczny 74HC00 DIP-16 przemyslowy,V5G37B
Wzmacniacz operacyjny LM324 DIP-8 rail-to-rail,1SX5QV
Mikrokontroler ATmega8 QFN 16 MHz,UHDQQI
Czujnik temperatury DS18B20 wodoodporny,VYCQ68
Czujnik wilgotnosci DHT22 mini,DKKO6W
Czujnik ruchu PIR HC-SR505 zasieg 10 m,ZJCK3D
Przekaznik SRD cewka 24 V styk 1C,8H2RPR
Bezpiecznik samochodowy 500 mA,49Y1L4
Zlacze goldpin katowy 3 pin,FA9CYN
Przelacznik kolyskowy SPDT,6OSFVD
Wyswietlacz LED 7-segmentowy czerwony 4 cyfry,M2RR9P
Buzzer pasywny 12 V,8GEU5P
Optoizolator 4N35 SMD,F75V4U
Enkoder obrotowy 18 impulsow mini,9UPAFB
Antena GPS ceramiczna 25x25 mm,J8W6FE
Modul GSM A7670 LTE Cat-1,5HDS5O
Przycisk podswietlany zielony,GEXSTF
Radiator aluminiowy 40x30x20 mm,2KHTGI
Wentylator 24 V 80 mm,NH3M7M
Rezystor metalizowany 1 ohm 0.25 W 5%,IL8JOX
Rezystor SMD 10 ohm 0402 2% wysoka stabilnosc,XBY6LC
Potencjometr obrotowy 2 kOhm logarytmiczny THT,MZODAX
Kondensator ceramiczny 10 pF 50 V X7R,Y1KXLF
Kondensator elektrolityczny 1 uF 16 V radialny,Q64GA0
Kondensator foliowy 1 nF 250 V MKT,YL7ZZ5
Dioda prostownicza 1N4002 DO-41 1 A,740NMU
Dioda Schottky 1N5818 DO-41 0.5 A,H4JVNV
Dioda Zenera 3.3 V 1 W DO-35,YY3LW5
Dioda LED czerwona 5 mm superjasna,1NXRMU
Tranzystor NPN BC547 TO-18 niskoszumny,RV9OJR
Tranzystor PNP BC557 TO-18 niskoszumny,9A1UPU
Tranzystor MOSFET N-kanal IRF3205 TO-220 logic level,L4GZE2
Tranzystor MOSFET P-kanal AO3401 TO-220 logic level,UQJF2Z
Stabilizator napiecia 78L05 SOT-223 uniwersalny,3QYQDX
Cewka osiowa 22 uH 0.5 A,8EXM1S
Rezonator kwarcowy 4 MHz SMD 5032 50 ppm,96I0MH
Uklad logiczny 74HC02 DIP-14 standard,PGG6M9
Wzmacniacz operacyjny LM324 SOIC-8 niskoszumny,ZMRPFP
Mikrokontroler ATmega8 QFN 48 MHz,XSK2MD
Czujnik temperatury DS18B20 SMD 0603,XTP4LT
Czujnik wilgotnosci SHT20 modul,MK2743
Czujnik ruchu PIR AM312 zasieg 3 m,FSDTH3
Przekaznik Finder mini cewka 5 V styk 1A,1QXQJQ
Bezpiecznik samochodowy 1 A,HGY9E9
Zlacze goldpin katowy 4 pin,5DL0LF
Przelacznik taktowy 2 pozycje,A8RCAX
Wyswietlacz LED 7-segmentowy zielony 1 cyfra,BYD37C
Buzzer piezo 3 V,D315ZL
Optoizolator TLP521 DIP-4,PAP9TS
Enkoder obrotowy 24 impulsy przemyslowy,ZSW7QE
Antena NFC 13.56 MHz cewka,CFI1QZ
Modul RFID RC522 13.56 MHz,PYUN5Z
Przycisk podswietlany niebieski,XEZ9FN
Radiator aluminiowy 50x35x25 mm,IMOL7E
Wentylator blower 5 V 50 mm,X1ABW2
Rezystor metalizowany 1 ohm 0.25 W 10%,8M1UD4
Rezystor SMD 10 ohm 0402 2% motoryzacyjny,XDQCRT
Potencjometr obrotowy 2 kOhm logarytmiczny SMD,M2Z35H
Kondensator ceramiczny 10 pF 50 V C0G,JL8WEG
Kondensator elektrolityczny 1 uF 16 V osiowy,KHG8AN
Kondensator foliowy 1 nF 250 V MKP,G02Q60
Dioda prostownicza 1N4002 DO-41 2 A,1M25ES
Dioda Schottky 1N5818 DO-41 1 A,Z17V1J
Dioda Zenera 3.3 V 1 W SOD-123,FT5BEZ
Dioda LED czerwona 5 mm dyfuzyjna,KT2RD2
Tranzystor NPN BC547 TO-18 uniwersalny,5Z8NBE
Tranzystor PNP BC557 TO-18 uniwersalny,8YYK2H
Tranzystor MOSFET N-kanal IRF3205 TO-220 niski Rds(on),EQZGG9
Tranzystor MOSFET P-kanal AO3401 TO-220 niski Rds(on),ABFGHY
Stabilizator napiecia 7805 TO-92 liniowy,7LRIAV
Cewka osiowa 22 uH 1 A,2SY5OS
Rezonator kwarcowy 8 MHz HC-49 20 ppm,F0DD3F
Uklad logiczny 74HC02 DIP-14 przemyslowy,YG75BY
Wzmacniacz operacyjny LM324 SOIC-8 rail-to-rail,HXXWK0
Mikrokontroler ATmega328P DIP 8 MHz,5H9Z8O
Czujnik temperatury DS18B20 przewlekany,BPZ2CX
Czujnik wilgotnosci SHT20 SMD,G15U1F
Czujnik ruchu PIR AM312 zasieg 5 m,6BAB8V
Przekaznik Finder mini cewka 5 V styk 1C,OLRKJJ
Bezpiecznik samochodowy 2 A,B2VGO1
Zlacze goldpin katowy 6 pin,4SPHDP
Przelacznik taktowy 3 pozycje,4TXQO6
Wyswietlacz LED 7-segmentowy zielony 4 cyfry,QOO7VQ
Buzzer piezo 5 V,Z6OOQ6
Optoizolator TLP521 SMD,XT7Y0K
Enkoder obrotowy 36 impulsow precyzyjny,TKTWUP
Antena Bluetooth 2.4 GHz PCB,PYERTD
Modul RFID PN532 NFC,PYTPAG
Przycisk podswietlany zolty,V6O2QU
Radiator do mostka prostowniczego standard,5YWLBL
Wentylator blower 12 V 50 mm,O0HKJF
Rezystor metalizowany 1 ohm 0.25 W 0.5%,RS5F7B
Rezystor SMD 10 ohm 0402 2% przemyslowy,2UAXAU
Potencjometr obrotowy 2 kOhm precyzyjny THT,HXEWW7
Kondensator ceramiczny 10 pF 50 V Y5V,1SB9AM
Kondensator elektrolityczny 1 uF 16 V Low ESR,ULLJUJ
Kondensator foliowy 1 nF 250 V PPS,4NC6EO
Dioda prostownicza 1N4002 SMA 1 A,KJK6PW
Dioda Schottky 1N5818 SOD-123 0.5 A,N6510I
Dioda Zenera 3.3 V 1 W SMA,7WNMLF
Dioda LED czerwona 5 mm clear,1LUJO2
Tranzystor NPN BC547 TO-18 wysokie wzmocnienie,NA7FOX
Tranzystor PNP BC557 TO-18 wysokie wzmocnienie,BJ21EF
Tranzystor MOSFET N-kanal IRF3205 TO-252 logic level,7816CN
Tranzystor MOSFET P-kanal AO3401 SOT-23 logic level,27H2GL
Stabilizator napiecia 7805 TO-92 niski spadek,AM18T8
Cewka osiowa 47 uH 0.5 A,7LV8NS
Rezonator kwarcowy 8 MHz HC-49 30 ppm,G9LZXS
Uklad logiczny 74HC02 SOIC-14 standard,SZK1QL
Wzmacniacz operacyjny LM324 TSSOP-8 niskoszumny,QCV12B
Mikrokontroler ATmega328P DIP 16 MHz,ILSLCC
Czujnik temperatury DS18B20 sonda,8IR354
Czujnik wilgotnosci SHT20 przemyslowy,ZXKGVW
Czujnik ruchu PIR AM312 zasieg 7 m,1337TF
Przekaznik Finder mini cewka 9 V styk 1A,AFM5E4
Bezpiecznik samochodowy 3.15 A,QM1N6S
Zlacze goldpin katowy 8 pin,1N56YF
Przelacznik taktowy SPST,YH9RBN
Wyswietlacz e-paper 2.13 cala,QJL275
Buzzer piezo 9 V,MF12P3
Optoizolator MOC3021 DIP-4,97HPWC
Enkoder obrotowy 48 impulsow panelowy,RW6HML
Antena UHF 433 MHz spiralna,EV0IW0
Modul CAN MCP2515 SPI,1LBHGI
Przycisk podswietlany czarny,GA9NBY
Radiator do Raspberry Pi zestaw 3 szt,IIXD40
Wentylator osiowy 12 V cichy,D482SK
Rezystor metalizowany 1 ohm 0.25 W 0.25%,DRXCIM
Rezystor SMD 10 ohm 0402 2% precyzyjny,LTGESV
Potencjometr obrotowy 2 kOhm precyzyjny SMD,ZHPFUU
Kondensator ceramiczny 10 pF 50 V NP0,Z41SUT
Kondensator elektrolityczny 1 uF 16 V 105C,8MO3NN
Kondensator foliowy 1 nF 250 V pulsowy,XJQUIF
Dioda prostownicza 1N4002 SMA 2 A,NZ4YOE
Dioda Schottky 1N5818 SOD-123 1 A,THRBUV
Dioda Zenera 3.3 V 1 W MELF,J9WPNX
Dioda LED czerwona 5 mm ciepla,G22IQQ
Tranzystor NPN BC547 TO-18 szybki,E55YYZ
Tranzystor PNP BC557 TO-18 szybki,XP8TTD
Tranzystor MOSFET N-kanal IRF3205 TO-252 niski Rds(on),9G2D1Z
Tranzystor MOSFET P-kanal AO3401 SOT-23 niski Rds(on),3LB8Z8
Stabilizator napiecia 7805 TO-92 uniwersalny,PFXX6J
Cewka osiowa 47 uH 1 A,9U1PHX
Rezonator kwarcowy 8 MHz HC-49 50 ppm,AZKIDH
Uklad logiczny 74HC02 SOIC-14 przemyslowy,LMYWUM
Wzmacniacz operacyjny LM324 TSSOP-8 rail-to-rail,Q4ISDF
Mikrokontroler ATmega328P DIP 48 MHz,NKIJDD
Czujnik temperatury DS18B20 przemyslowy,AXUVF7
Czujnik wilgotnosci SHT20 mini,J8QL1Q
Czujnik ruchu PIR AM312 zasieg 10 m,XLJZ6D
Przekaznik Finder mini cewka 9 V styk 1C,0UVHVR
Bezpiecznik samochodowy 5 A,MIVA4Z
Zlacze goldpin katowy 10 pin,VEHCKW
Przelacznik taktowy SPDT,Y2GUMT
Wyswietlacz VFD 2x20,Y5LYLA
Buzzer piezo 12 V,7ATSFU
Optoizolator MOC3021 SMD,JRCX2E
Enkoder obrotowy 60 impulsow optyczny,HX2H19
Antena VHF 144 MHz teleskopowa,6VXICO
Modul RS485 MAX485 TTL,LOU6TP
Przycisk podswietlany bialy,CB1Q10
Radiator do LED mocy 1 W,GQ6GTK
Wentylator osiowy 24 V przemyslowy,7IM4EK
Rezystor metalizowany 1 ohm 0.5 W 1%,Q0UWI4
Rezystor SMD 10 ohm 0402 5% niski szum,GB0290
Potencjometr obrotowy 5 kOhm liniowy THT,4F8HHY
Kondensator ceramiczny 10 pF 100 V X7R,QN9NOP
Kondensator elektrolityczny 1 uF 25 V radialny,X69BDP
Kondensator foliowy 2.2 nF 63 V MKT,VJ6SGZ
Dioda prostownicza 1N4002 SMB 1 A,SOB3VN
Dioda Schottky 1N5818 SMA 0.5 A,APE8DU
Dioda Zenera 4.7 V 0.25 W DO-35,JUS9D2
Dioda LED czerwona 0603 standard,BBDQ7L
Tranzystor NPN BC548 TO-92 niskoszumny,7DQYKC
Tranzystor PNP BC558 TO-92 niskoszumny,X8CVX3
Tranzystor MOSFET N-kanal IRF3205 SOT-23 logic level,1INS6Q
Tranzystor MOSFET P-kanal AO3401 SO-8 logic level,AD40KI
Stabilizator napiecia 7805 TO-220 liniowy,ZDGULI
Cewka osiowa 100 uH 0.5 A,IN7MEE
Rezonator kwarcowy 8 MHz SMD 3225 20 ppm,6EUA0T
Uklad logiczny 74HC02 TSSOP-14 standard,VR06T3
Wzmacniacz operacyjny TL072 DIP-8 niskoszumny,IT7XHU
Mikrokontroler ATmega328P TQFP 8 MHz,GD9WLU
Czujnik temperatury TMP36 TO-92,TUR8LC
Czujnik wilgotnosci SHT31 modul,M7W80T
Czujnik ruchu PIR EKMB110 zasieg 3 m,EAEEFA
Przekaznik Finder mini cewka 12 V styk 1A,6TG9WB
Bezpiecznik polimerowy 250 mA,C5DFGJ
Zlacze ARK 2 pin,WTUKLV
Przelacznik dzwigniowy 2 pozycje,2GUQ65
Wyswietlacz alfanumeryczny 8x2 zielony,OXSJ4V
Buzzer magnetyczny 3 V,2CUVC4
Optoizolator MOC3041 DIP-4,2O5AIU
Modul ZigBee CC2530,GXE9YV
Przycisk mini czerwony,L5ZKWH
Radiator do LED mocy 3 W,LKYLYZ
Rezystor metalizowany 1 ohm 0.5 W 2%,VVI2G4
Rezystor SMD 10 ohm 0402 5% standard,9V25W9
Potencjometr obrotowy 5 kOhm liniowy SMD,WIW6X7
